id,Latitude,Longitude,h,x,y,x_normed,y_normed,h_normed,Location_RURAL,Location_SUBURBAN,Location_UNKNOWN,Location_URBAN AND CENTER CITY
16_83_10,42.564008,-114.447071,1140.0,-1498983.20661849,546527.5376730824,0.48496770752210944,0.44111368691733677,1.0373702255502426,0,1,0,0
16_83_1001,42.547957,-114.353114,1189.0,-1491809.117748674,543241.1298456785,0.4915784137696935,0.4380853613486174,1.1135233960453366,1,0,0,0
32_1_1,39.444085,-118.802097,1208.0,-1931756.1951946418,292670.6761032761,0.0861804675977449,0.2071922550498971,1.1430521764413932,0,0,0,1
32_1_2,39.472471,-118.783624,1208.0,-1929446.5000986783,295314.536487085,0.08830878187959632,0.2096284925532435,1.1430521764413932,1,0,0,0
32_3_2,36.245547,-115.036112,575.0,-1691311.9130106175,-126375.75036137742,0.3077426125995228,-0.17894637240883157,0.15927754535171215,0,1,0,0
32_3_3,35.981924,-114.835819,762.0,-1679768.2269580637,-158591.37849888406,0.31837977069618917,-0.2086321008773618,0.4499029103023763,0,1,0,0
32_3_4,36.032755,-114.984715,518.0,-1691688.7150724516,-150333.1875534212,0.30739540087835915,-0.201022427305209,0.07069120416354181,0,0,0,1
32_3_5,36.031085,-115.144996,594.0,-1705798.5902668112,-147517.49570615747,0.2943935769823056,-0.19842785229732296,0.18880632574776893,0,0,0,1
32_3_6,36.063328,-115.057777,549.0,-1697400.2327701729,-145666.01123566375,0.30213240979856204,-0.19672176526961774,0.1188697405992134,1,0,0,0
32_3_8,36.057754,-115.002494,518.0,-1692676.3450820309,-147299.68434045214,0.30648532964937053,-0.19822714570137862,0.07069120416354181,0,1,0,0
32_3_9,36.163859,-115.164167,632.0,-1704410.0971470166,-132810.63129317012,0.29567303146193624,-0.1848759208644187,0.2478638865398825,0,0,0,1
32_3_10,36.15886,-115.111111,567.0,-1699876.619320751,-134344.5854148934,0.29985049437509737,-0.18628941326463808,0.14684437465863562,0,1,0,0
