Date Local,"(1, 9, 1)","(1, 11, 1)","(1, 12, 1)","(1, 13, 1)","(1, 15, 1)","(7, 2, 1)","(7, 8, 3)","(13, 2, 1)","(13, 1002, 1)","(13, 1004, 1)","(19, 7, 1)","(19, 8, 3)","(19, 11, 3)","(19, 242, 1)","(19, 2009, 3)","(19, 2016, 1)","(19, 5001, 1)","(23, 1004, 1)","(23, 1005, 1)","(25, 5, 1)","(25, 5, 3)","(25, 1003, 1)","(27, 2, 1)","(29, 2012, 1)","(29, 5002, 3)","(37, 2, 1)","(37, 16, 2)","(37, 113, 1)","(37, 1002, 1)","(37, 1103, 1)","(37, 1103, 9)","(37, 1201, 1)","(37, 1302, 1)","(37, 1602, 1)","(37, 1701, 1)","(37, 2005, 1)","(37, 4002, 1)","(37, 4006, 1)","(37, 5005, 1)","(37, 6012, 1)","(37, 9033, 1)","(39, 4, 3)","(41, 1, 1)","(53, 1003, 1)","(55, 3, 1)","(55, 4, 1)","(59, 7, 1)","(59, 8, 1)","(59, 1003, 1)","(59, 2022, 1)","(59, 5001, 1)","(65, 1003, 1)","(65, 5001, 1)","(65, 8001, 1)","(65, 8001, 9)","(65, 8005, 1)","(65, 9001, 1)","(67, 2, 1)","(67, 6, 1)","(67, 7, 1)","(67, 14, 1)","(67, 15, 1)","(71, 1, 1)","(71, 26, 1)","(71, 306, 1)","(71, 1004, 1)","(71, 2002, 1)","(71, 9004, 1)","(71, 9011, 3)","(73, 3, 3)","(73, 77, 1)","(73, 1002, 1)","(73, 1010, 1)","(73, 1017, 1)","(73, 1018, 1)","(73, 1022, 1)","(75, 5, 1)","(77, 1002, 1)","(77, 1002, 3)","(77, 1003, 3)","(81, 1001, 1)","(83, 11, 3)","(83, 1008, 1)","(83, 1008, 3)","(83, 1025, 1)","(83, 2004, 1)","(83, 2011, 1)","(83, 4003, 1)","(85, 5, 1)","(85, 6, 1)","(85, 2009, 1)","(95, 4, 1)","(97, 3, 1)","(97, 4, 1)","(99, 5, 1)","(99, 5, 3)","(99, 6, 1)","(101, 4, 3)"
2015-07-19,0.104348,0.330435,0.443478,,,,0.110913,0.1,0.3,0.295652,,,0.162739,,0.1,,0.178261,0.216667,0.1,,0.135043,0.0,,0.117391,0.1,0.16087,0.069565,0.159091,,0.375,,0.513636,0.418182,0.208696,0.008696,0.06087,,0.321739,-0.061905,0.004545,0.118182,0.1,0.308696,0.420833,0.308696,,0.318182,0.454167,0.195652,0.0,0.095455,,0.021739,0.2,0.144542,0.018182,-0.134783,0.147826,0.111818,,0.178261,,0.016667,0.545833,0.095455,0.231818,-0.069565,0.282609,,,,0.270833,0.3,0.445455,0.181333,,0.291304,,0.13513,,0.3,0.188174,,0.209957,0.052174,0.330435,0.243478,0.178261,0.260455,0.552174,,0.256522,,0.4,,0.157478,,0.1
2015-07-20,0.126087,0.386957,0.465217,,,,0.133783,0.104348,0.347826,0.347826,,,0.154227,,0.1,,0.152174,0.2,0.1,,0.131391,0.0,,0.156522,0.1,0.243478,0.126087,0.121739,,0.3625,,0.465217,0.290909,0.230435,0.026087,0.090909,,0.13913,-0.142857,0.004545,0.136364,0.1,0.308696,0.425,0.352174,,0.27619,0.579167,0.004545,0.0,0.104348,,0.045455,0.2,0.125083,0.027273,-0.143478,0.2,0.127083,,0.2125,,0.009524,0.583333,0.077273,0.243478,-0.030435,0.3,,,,0.225,0.113636,0.490909,0.190056,,0.33913,,0.137217,,0.369565,0.131435,,0.135826,0.009524,0.309524,0.209524,0.190476,0.199091,0.604348,,0.308696,,0.421739,,0.173739,,0.1
2015-07-21,0.013043,0.313043,0.391304,,,,0.118087,0.104348,0.317391,0.3,,,0.163087,,0.1,,0.156522,0.2,0.1,,0.157217,0.0,,0.161905,0.1,0.277778,0.168182,0.071429,,0.458333,,0.47,0.263636,0.231818,0.036364,0.095455,,0.152381,-0.2,0.009091,0.15,0.1125,0.278261,0.3625,0.3,,0.290909,0.595833,0.0,0.0,0.095455,,0.1,0.2,0.119667,0.045455,-0.136364,0.186957,0.120913,,0.205263,,0.059091,0.66875,0.110526,0.313636,0.009091,0.340909,,,,0.209524,0.109091,0.4,0.163579,,0.269565,,0.145421,,0.295652,0.093217,,0.133696,0.004348,0.3,0.2,0.136364,0.163182,0.530435,,0.227273,,0.4,,0.156739,,0.1
2015-07-22,0.008696,0.304348,0.345455,,,,0.106957,0.1,0.313043,0.3,,,0.121739,,0.1,,0.1375,0.2,0.1,,0.139783,0.0,,0.2,0.1,0.228571,0.113043,0.078261,,0.333333,,0.469565,0.245455,0.213636,0.004348,0.073913,,0.152174,-0.152174,0.0,0.104545,0.1,0.295652,0.3375,0.304348,,0.272727,0.608333,0.008696,0.0,0.091304,,0.06087,0.2,0.104292,0.027273,-0.104348,0.1625,0.117375,,0.191667,,0.063636,0.6,0.105,0.273913,0.0,0.304348,,,,0.2,0.1125,0.386364,0.162,,0.282609,,0.132261,,0.321739,0.114087,,0.126522,0.0,0.295652,0.2,0.114286,0.155909,0.508696,,0.247826,,0.4,,0.156957,,0.165217
2015-07-23,0.069565,0.326087,0.352174,,,,0.13287,0.1,0.3,0.308696,,,0.13513,,0.1,,0.119048,0.2,0.1,,0.173217,0.0,,0.208696,0.1,0.292308,0.169565,0.082609,,0.3625,,0.468182,0.354545,0.255,0.043478,0.113043,,0.169565,-0.271429,0.036364,0.122727,0.1,0.3,0.329167,0.295652,,0.304545,0.6875,0.01,0.0,0.138095,,0.06087,0.2,0.134833,0.059091,-0.069565,0.156522,0.123227,,0.143478,,0.014286,0.675,0.068182,0.308696,0.026087,0.327273,,,,0.231818,0.108333,0.418182,0.171688,,0.282609,,0.1355,,0.334783,0.110391,,0.140348,0.0,0.295652,0.2,,0.166818,0.513043,,0.295652,,0.4,,0.163435,,0.252174
2015-07-24,0.077273,0.347826,0.373913,,,,0.144957,0.1,0.326087,0.33913,,,0.141783,,0.1,,0.117391,0.2,0.108333,,0.131174,0.0,,0.221739,0.1,0.3,0.213636,0.117391,,0.4,,0.452174,0.459091,0.305263,0.086957,0.147826,,0.195455,,0.047619,0.118182,0.1,0.3,0.3875,0.313043,,0.331818,0.745833,0.004348,0.0,0.178261,,0.091304,0.231818,0.187458,0.109091,-0.013636,0.138095,0.142542,,0.170833,,0.08,0.745833,0.1,0.386957,0.126316,0.347826,,,,0.290909,0.145833,0.440909,0.201952,,0.291304,,0.161565,,0.317391,0.130435,,0.157261,0.0,0.3,0.204348,0.144444,0.187727,0.552174,,0.286957,,0.413043,,0.174304,,0.134783
2015-07-25,0.056522,0.330435,0.365217,,,,0.147217,0.1,0.391304,0.36087,,,0.133609,,0.1,,0.104545,0.2,0.104167,,0.110609,0.0,,0.168182,0.104167,0.330435,0.195652,0.204348,,0.4,,0.517391,0.468182,0.317391,0.113043,0.147826,,0.204348,,0.059091,0.136364,0.1,0.313043,0.358333,0.304348,,0.336364,0.708333,0.018182,0.0,0.173913,,0.108696,0.245455,0.209792,0.095455,0.004348,0.169565,0.13825,,0.173913,,0.0,0.7125,0.094737,0.334783,0.086957,0.352174,,,,0.286364,0.241667,0.527273,0.184762,,0.269565,,0.151913,,0.326087,0.134217,,0.149652,0.004348,0.295652,0.217391,0.004348,0.160909,0.56087,,0.3,,0.4,,0.154783,,0.1
2015-07-26,0.030435,0.321739,0.378261,,,,0.130348,0.1,0.352174,0.343478,,,0.135458,,0.1,,0.13913,0.205882,0.104167,,0.09413,0.0,,0.186957,0.1,0.256522,0.152174,0.147826,,0.279167,,0.426087,0.386364,0.243478,0.06087,0.113043,,0.152174,,0.045455,0.131818,0.1,0.3,0.329167,0.308696,,0.259091,0.616667,0.0,0.0,0.130435,,0.1,0.209091,0.155375,0.059091,-0.004348,0.183333,0.132375,,0.166667,,0.0,0.6375,0.059091,0.3,0.021739,0.321739,,,,0.227273,0.125,0.413636,0.169,,0.252174,,0.159174,,0.304348,0.102739,,0.120826,0.0,0.273913,0.186957,0.0,0.161818,0.556522,,0.313043,,0.4,,0.160826,,0.143478
2015-07-27,0.130435,0.417391,0.413043,,,,0.124478,0.121739,0.378261,0.417391,,,0.153292,,0.1,,0.121739,0.2,0.1,,0.239435,0.0,,0.23913,0.116667,0.278261,0.16087,0.104348,,0.233333,,0.404348,0.354545,0.208696,0.026087,0.091304,,0.156522,,0.068182,0.177273,0.1,0.33913,0.3625,0.347826,,0.290909,0.6,0.008696,0.0,0.082609,,0.1,0.2,0.127292,0.031818,-0.021739,0.226087,0.222,,0.230435,,0.0,0.65,0.063636,0.295652,0.0,0.3,,,,0.227273,0.1,0.390909,0.198353,,0.321739,,0.187043,,0.373913,0.113174,,0.143957,0.0,0.295238,0.2,0.0,0.228182,0.652174,,0.236364,,0.443478,,0.184696,,0.1
2015-07-28,0.252174,0.478261,0.434783,,,,0.133739,0.130435,0.386957,0.465217,,,0.209217,,0.125,,0.221739,0.22,0.104167,,0.203,0.0,,0.23913,0.15,0.353846,0.213636,0.136364,,0.333333,,0.459091,0.419048,0.295455,0.090909,0.136364,,0.209524,,0.140909,0.222727,0.154167,0.365217,0.375,0.369565,,0.311111,0.691667,0.009091,0.004545,0.140909,,0.145455,0.254545,0.204625,0.1,0.05,0.275,0.229292,,0.275,,0.044444,0.765217,0.115789,0.390909,0.136364,0.377273,,,,0.313636,0.169565,0.48,0.218571,,0.434783,,0.206043,,0.408696,0.128261,,0.155739,0.0,0.3,0.213043,0.0,0.317727,0.721739,,0.243478,,0.430435,,0.244261,,0.1
